CCM Code,Campus,Campus Name,College,College Name,Major,Major Name,Self Support,Subcampus Ind,Ugrad Req Units,UC Discp,UC Discipline Name,CIP Code,CIP Name,Major Long Name
0104879,01,Berkeley,04,College Of Natural Resources,879,SOILS & PLANT RESOURCES,N,GENERAL CAMPUS,0,120,AGRICULTURE & NATURAL RESOURCES,011201,"Soil Science And Agronomy, General.",SOILS & PLANT RESOURCES
0104929,01,Berkeley,04,College Of Natural Resources,929,WOOD SCIENCE & TECH,N,GENERAL CAMPUS,0,120,AGRICULTURE & NATURAL RESOURCES,030509,Wood Science And Wood Products/Pulp And Paper Technology/Technician.,WOOD SCIENCE & TECHNOLOGY
0104930,01,Berkeley,04,College Of Natural Resources,930,WILDLAND RSRC SCI,N,GENERAL CAMPUS,0,120,AGRICULTURE & NATURAL RESOURCES,030601,"Wildlife, Fish and Wildlands Science and Management.",WILDLAND RESOURCE SCIENCE
0104931,01,Berkeley,04,College Of Natural Resources,931,FORESTRY & NAT RES,N,GENERAL CAMPUS,0,120,AGRICULTURE & NATURAL RESOURCES,030506,Forest Management/Forest Resources Management.,FORESTRY & NATURAL RESOURCES
01049A3,01,Berkeley,04,College Of Natural Resources,9A3,NUTRI SCI-TOXICOLOGY (BK),N,GENERAL CAMPUS,120,020,INTERDISCIPLINARY STUDIES,301901,Nutrition Sciences.,NUTRITIONAL SCIENCE-TOXICOLOGY (BK)
0108000,01,Berkeley,08,Unaffiliated,000,UNDECLARED,N,GENERAL CAMPUS,0,020,INTERDISCIPLINARY STUDIES,309999,"Multi-/Interdisciplinary Studies, Other.",UNDECLARED
0108002,01,Berkeley,08,Unaffiliated,002,DOUBLE MAJOR,N,GENERAL CAMPUS,0,020,INTERDISCIPLINARY STUDIES,309999,"Multi-/Interdisciplinary Studies, Other.",DOUBLE MAJOR
0108100,01,Berkeley,08,Unaffiliated,100,ASIAN AMER STUDIES,N,GENERAL CAMPUS,0,330,"AREA, ETHN, CULTUR & GENDER STU",050206,Asian-American Studies.,ASIAN AMERICAN STUDIES
0108160,01,Berkeley,08,Unaffiliated,160,CHICANO STUDIES,N,GENERAL CAMPUS,0,330,"AREA, ETHN, CULTUR & GENDER STU",050203,"Hispanic-American, Puerto Rican, and Mexican-American/Chicano Studies.",CHICANO STUDIES
0108360,01,Berkeley,08,Unaffiliated,360,ETHNIC STUDIES,N,GENERAL CAMPUS,120,330,"AREA, ETHN, CULTUR & GENDER STU",050200,Ethnic Studies.,ETHNIC STUDIES
0108415,01,Berkeley,08,Unaffiliated,415,HEALTH ARTS&SCIENCES,N,GENERAL CAMPUS,0,890,HEALTH PROFESSIONS,519999,"Health Professions and Related Clinical Sciences, Other.",HEALTH ARTS & SCIENCES
0108451,01,Berkeley,08,Unaffiliated,451,INDIVIDUAL MAJOR,N,GENERAL CAMPUS,0,020,INTERDISCIPLINARY STUDIES,309999,"Multi-/Interdisciplinary Studies, Other.",INDIVIDUAL MAJOR
0108587,01,Berkeley,08,Unaffiliated,587,NATIVE AMERICAN STUD,N,GENERAL CAMPUS,0,330,"AREA, ETHN, CULTUR & GENDER STU",050202,American Indian/Native American Studies.,NATIVE AMERICAN STUDIES
0108631,01,Berkeley,08,Unaffiliated,631,PEACE & CONFLICT STUDIES,N,GENERAL CAMPUS,0,020,INTERDISCIPLINARY STUDIES,300501,Peace Studies and Conflict Resolution.,PEACE & CONFLICT STUDIES
0110000,01,Berkeley,10,College Of Chemistry,000,UNDECLARED,N,GENERAL CAMPUS,0,020,INTERDISCIPLINARY STUDIES,309999,"Multi-/Interdisciplinary Studies, Other.",UNDECLARED
0110002,01,Berkeley,10,College Of Chemistry,002,DOUBLE MAJOR,N,GENERAL CAMPUS,0,020,INTERDISCIPLINARY STUDIES,309999,"Multi-/Interdisciplinary Studies, Other.",DOUBLE MAJOR
0110003,01,Berkeley,10,College Of Chemistry,003,TRIPLE MAJOR,N,GENERAL CAMPUS,0,020,INTERDISCIPLINARY STUDIES,309999,"Multi-/Interdisciplinary Studies, Other.",TRIPLE MAJOR
0110008,01,Berkeley,10,College Of Chemistry,008,LIMITED,N,GENERAL CAMPUS,0,430,LETTERS,240199,"Liberal Arts and Sciences, General Studies and Humanities, Other.",LIMITED
01100DN,01,Berkeley,10,College Of Chemistry,0DN,MOLECULAR SCI & SW ENGIN,Y,GENERAL CAMPUS,0,220,COMPUTER & INFORMATION SCIENCES,110101,"Computer and Information Sciences, General.",MOLECULAR SCIENCE AND SOFTWARE ENGINEERING
0110153,01,Berkeley,10,College Of Chemistry,153,CHEMISTRY,N,GENERAL CAMPUS,0,230,PHYSICAL SCIENCES,400501,"Chemistry, General.",CHEMISTRY
01101A1,01,Berkeley,10,College Of Chemistry,1A1,CHEMICAL BIOLOGY,N,GENERAL CAMPUS,120,230,PHYSICAL SCIENCES,400501,"Chemistry, General.",CHEMICAL BIOLOGY
0110294,01,Berkeley,10,College Of Chemistry,294,CHEMICAL ENGINEERING,N,GENERAL CAMPUS,0,240,ENGINEERING,140701,Chemical Engineering.,CHEMICAL ENGINEERING
01102B4,01,Berkeley,10,College Of Chemistry,2B4,CHEM ENGR & NUC ENGR,N,GENERAL CAMPUS,120,240,ENGINEERING,149999,"Engineering, Other.",CHEMICAL ENGINEERING AND NUCLEAR ENGINEERING
01102B5,01,Berkeley,10,College Of Chemistry,2B5,CHEM ENGR & MAT SCI & ENG,N,GENERAL CAMPUS,120,240,ENGINEERING,149999,"Engineering, Other.",CHEMICAL ENGINEERING AND MATERIALS SCIENCE AND ENGINEERING
01102F6,01,Berkeley,10,College Of Chemistry,2F6,BIOPROCESS ENGINEERING,Y,GENERAL CAMPUS,0,240,ENGINEERING,144301,Biochemical Engineering.,BIOPROCESS ENGINEERING
0116000,01,Berkeley,16,College Of Engineering,000,UNDECLARED,N,GENERAL CAMPUS,0,020,INTERDISCIPLINARY STUDIES,309999,"Multi-/Interdisciplinary Studies, Other.",UNDECLARED
0116002,01,Berkeley,16,College Of Engineering,002,DOUBLE MAJOR,N,GENERAL CAMPUS,0,020,INTERDISCIPLINARY STUDIES,309999,"Multi-/Interdisciplinary Studies, Other.",DOUBLE MAJOR
0116003,01,Berkeley,16,College Of Engineering,003,TRIPLE MAJOR,N,GENERAL CAMPUS,0,020,INTERDISCIPLINARY STUDIES,309999,"Multi-/Interdisciplinary Studies, Other.",TRIPLE MAJOR
0116008,01,Berkeley,16,College Of Engineering,008,LIMITED,N,GENERAL CAMPUS,0,430,LETTERS,240199,"Liberal Arts and Sciences, General Studies and Humanities, Other.",LIMITED
01160FQ,01,Berkeley,16,College Of Engineering,0FQ,MASTER OF DESIGN,Y,GENERAL CAMPUS,0,240,ENGINEERING,149999,"Engineering, Other.",MASTER OF DESIGN
0116201,01,Berkeley,16,College Of Engineering,201,COMPUTER SCIENCE,N,GENERAL CAMPUS,0,220,COMPUTER & INFORMATION SCIENCES,110701,Computer Science.,COMPUTER SCIENCE
0116228,01,Berkeley,16,College Of Engineering,228,COMPUTATIONAL ENGR SCI,N,GENERAL CAMPUS,0,240,ENGINEERING,141301,Engineering Science.,COMPUTATIONAL ENGINEERING SCIENCE
0116275,01,Berkeley,16,College Of Engineering,275,ENGR.-CIVIL & ENVIRON,N,GENERAL CAMPUS,0,240,ENGINEERING,140801,"Civil Engineering, General.",ENGINEERING - CIVIL & ENVIRONMENTAL
0116279,01,Berkeley,16,College Of Engineering,279,AEROSPACE ENGR,N,GENERAL CAMPUS,120,240,ENGINEERING,140201,"Aerospace, Aeronautical, And Astronautical/Space Engineering, General.",AEROSPACE ENGINEERING
0116287,01,Berkeley,16,College Of Engineering,287,CIVIL ENGR,N,GENERAL CAMPUS,0,240,ENGINEERING,140801,"Civil Engineering, General.",CIVIL ENGINEERING
0116288,01,Berkeley,16,College Of Engineering,288,BIOENGINEERING,N,GENERAL CAMPUS,0,240,ENGINEERING,140501,Bioengineering and Biomedical Engineering.,BIOENGINEERING
0116290,01,Berkeley,16,College Of Engineering,290,ELEC ENGR COMPUT SCI,N,GENERAL CAMPUS,0,240,ENGINEERING,141001,Electrical and Electronics Engineering,ELECTRICAL ENGINEERING - COMPUTER SCIENCE
0116292,01,Berkeley,16,College Of Engineering,292,INDUS ENGR&OPER RSN,N,GENERAL CAMPUS,0,240,ENGINEERING,143701,Operations Research.,INDUSTRIAL ENGINEERING AND OPERATIONS RESEARCH
0116293,01,Berkeley,16,College Of Engineering,293,MAT SCI & MINERAL ENGR,N,GENERAL CAMPUS,0,230,PHYSICAL SCIENCES,401001,Materials Science.,MATERIALS SCIENCE & MINERAL ENGINEERING
0116295,01,Berkeley,16,College Of Engineering,295,MECH ENGR,N,GENERAL CAMPUS,0,240,ENGINEERING,141901,Mechanical Engineering.,MECHANICAL ENGINEERING
0116296,01,Berkeley,16,College Of Engineering,296,ENGR-NAVAL ARCH,N,GENERAL CAMPUS,0,240,ENGINEERING,142201,Naval Architecture and Marine Engineering.,ENGINEERING-NAVAL ARCHITECTURE
0116298,01,Berkeley,16,College Of Engineering,298,ENGR-NUCLEAR,N,GENERAL CAMPUS,0,240,ENGINEERING,142301,Nuclear Engineering.,ENGINEERING - NUCLEAR
0116299,01,Berkeley,16,College Of Engineering,299,E SCI-CIVIL ENGR,N,GENERAL CAMPUS,0,240,ENGINEERING,140801,"Civil Engineering, General.",ENGINEERING SCIENCE-CIVIL ENGINEERING
01162B0,01,Berkeley,16,College Of Engineering,2B0,UNDEC - ENG,N,GENERAL CAMPUS,120,240,ENGINEERING,140101,"Engineering, General.",UNDECLARED - ENGINEERING
01162B3,01,Berkeley,16,College Of Engineering,2B3,BIOENGR & MAT SCI & ENGR,N,GENERAL CAMPUS,120,240,ENGINEERING,149999,"Engineering, Other.",BIOENGINEERING AND MATERIALS SCIENCE AND ENGINEERING
01162B6,01,Berkeley,16,College Of Engineering,2B6,EECS & MAT SCI ENGR,N,GENERAL CAMPUS,120,240,ENGINEERING,149999,"Engineering, Other.",ELECTRICAL ENGINEERING & COMPUTER SCIENCES & MATERIALS SCIENCE AND ENGINEERING
01162B7,01,Berkeley,16,College Of Engineering,2B7,MAT SCI & ENGR & MEC ENGR,N,GENERAL CAMPUS,120,240,ENGINEERING,149999,"Engineering, Other.",MATERIALS SCIENCE AND ENGINEERING AND MECHANICAL ENGINEERING
01162B8,01,Berkeley,16,College Of Engineering,2B8,MAT SCI & ENGR & NUC ENGR,N,GENERAL CAMPUS,120,240,ENGINEERING,149999,"Engineering, Other.",MATERIALS SCIENCE AND ENGINEERING AND NUCLEAR ENGINEERING
01162B9,01,Berkeley,16,College Of Engineering,2B9,EECS & NUC ENGR,N,GENERAL CAMPUS,120,240,ENGINEERING,149999,"Engineering, Other.",ELECTRICAL ENGINEERING AND COMPUTER SCIENCES AND NUCLEAR ENGINEERING
01162C0,01,Berkeley,16,College Of Engineering,2C0,MEC ENGR & NUC ENGR,N,GENERAL CAMPUS,120,240,ENGINEERING,149999,"Engineering, Other.",MECHANICAL ENGINEERING AND NUCLEAR ENGINEERING
01162C6,01,Berkeley,16,College Of Engineering,2C6,ENERGY ENGINEERING,N,GENERAL CAMPUS,120,011,Not Available,141301,Engineering Science.,ENERGY ENGINEERING
01162C8,01,Berkeley,16,College Of Engineering,2C8,TRANSLATIONAL MEDICINE,N,GENERAL CAMPUS,0,240,ENGINEERING,140501,Bioengineering and Biomedical Engineering.,TRANSLATIONAL MEDICINE
01162C9,01,Berkeley,16,College Of Engineering,2C9,MASTERS OF ADV STD -IC,Y,GENERAL CAMPUS,0,240,ENGINEERING,141099,"Electrical, Electronics and Communications Engineering, Other.",MASTERS OF ADVANCED STUDY IN INTEGRATED CIRCUITS
01162D1,01,Berkeley,16,College Of Engineering,2D1,M.ENG-NUC ENG (SS/PT),Y,GENERAL CAMPUS,0,240,ENGINEERING,142301,Nuclear Engineering.,M.ENG-NUCLEAR ENGINEERING - SELF SUPPORTING PART TIME
01162D2,01,Berkeley,16,College Of Engineering,2D2,M.ENG-CIV&ENV ENG (SS/PT),Y,GENERAL CAMPUS,0,240,ENGINEERING,140801,"Civil Engineering, General.",M. ENG-CIVIL AND ENVIROMENTAL ENGINEERING-SELF SUPPORTING PART TIME
01162D3,01,Berkeley,16,College Of Engineering,2D3,M.ENG-BIOENG (SS/PT),Y,GENERAL CAMPUS,0,240,ENGINEERING,140501,Bioengineering and Biomedical Engineering.,M. ENG -BIOENGINEERING-SELF SUPPORTING PART TIME
01162D4,01,Berkeley,16,College Of Engineering,2D4,M. ENG (SS/PT),Y,GENERAL CAMPUS,0,240,ENGINEERING,140101,"Engineering, General.",MASTER OF ENGINEERING - SELF SUPPORTING PART TIME
01162D5,01,Berkeley,16,College Of Engineering,2D5,M. ENG-EECS (SS/PT),Y,GENERAL CAMPUS,0,240,ENGINEERING,141001,Electrical and Electronics Engineering,M. ENG-ELECTRICAL ENGINEERING & COMPUTER SCIENCES - SELF SUPPORTING PART TIME
01162D6,01,Berkeley,16,College Of Engineering,2D6,M. ENG-IE&OR (SS/PT),Y,GENERAL CAMPUS,0,240,ENGINEERING,143701,Operations Research.,M. ENG -INDUSTRIAL ENGINEERING & OPERATIONS RESEARCH - SELF SUPPORTING PART TIME
01162D7,01,Berkeley,16,College Of Engineering,2D7,M. ENG-MECHENGR (SS/PT),Y,GENERAL CAMPUS,0,240,ENGINEERING,141901,Mechanical Engineering.,M. ENG - MECHANICAL ENGINEERING - SELF SUPPORTING PART TIME
01162D8,01,Berkeley,16,College Of Engineering,2D8,M. ENG-MATSCI&ENG (SS/PT),Y,GENERAL CAMPUS,0,230,PHYSICAL SCIENCES,401001,Materials Science.,M.ENG-MATERIALS SCIENCE AND ENGINEERING-SELF SUPPORTING PART TIME
01162E6,01,Berkeley,16,College Of Engineering,2E6,IEOR AND BUS ADM,N,GENERAL CAMPUS,120,240,ENGINEERING,149999,"Engineering, Other.",INDUS ENGR & OPRNS RSRCH AND BUSINESS ADMIN
